"";"day_id";"MAPE";"MAE"
"1";1;0,1063;36433
"2";2;0,105;34343
"3";3;0,1849;57455,6666666667
"4";4;0,1486;46207,5
"5";5;0,1303;40869,2
"6";6;0,1256;39945,6666666667
"7";7;0,1329;43402,2857142857
"8";8;0,1349;45245,5
"9";9;0,1314;44838,6666666667
"10";10;0,1648;56628,4
"11";11;0,1701;58403,0909090909
"12";12;0,1625;55914,1666666667
"13";13;0,1603;55670,7692307692
"14";14;0,157;54922,9285714286
"15";15;0,1548;54525,1333333333
"16";16;0,1551;55210,0625
"17";17;0,1611;57663,4117647059
"18";18;0,1661;59190,6666666667
"19";19;0,1631;58295,8421052632
"20";20;0,158;56538,85
"21";21;0,1543;55355,5238095238
"22";22;0,1507;54273,4545454545
"23";23;0,3644;68961,2608695652
"24";24;0,4278;78553,1666666667
"25";25;0,4285;80413,36
"26";26;0,4235;81052,4230769231
"27";27;0,4309;86278,8148148148
"28";28;0,4158;83314,3571428571
"29";29;0,4029;81051,6896551724
"30";30;0,3932;79938,4333333333
"31";31;0,3947;82449,7419354839
